alumnus_in_**,alumnus_in_***,alumnus_in_AS,alumnus_in_AUS,alumnus_in_AUT,alumnus_in_CHE,alumnus_in_DEU,alumnus_in_EU,alumnus_in_FRA,alumnus_in_GBR,alumnus_in_IND,alumnus_in_ITA,alumnus_in_NA,alumnus_in_NLD,alumnus_in_OC,alumnus_in_RUS,alumnus_in_SWE,alumnus_in_USA,alumnus_of_*,alumnus_of_California_Institute_of_Technology,alumnus_of_Columbia_University,alumnus_of_Cornell_University,alumnus_of_ETH_Zurich,alumnus_of_Harvard_University,alumnus_of_Leiden_University,alumnus_of_Ludwig_Maximilian_University_of_Munich,alumnus_of_Massachusetts_Institute_of_Technology,alumnus_of_Moscow_State_University,alumnus_of_Princeton_University,alumnus_of_Saint_Petersburg_State_University,alumnus_of_Technical_University_of_Berlin,"alumnus_of_University_of_California,_Berkeley",alumnus_of_University_of_Cambridge,alumnus_of_University_of_Chicago,alumnus_of_University_of_Göttingen,alumnus_of_University_of_Paris,alumnus_of_University_of_Vienna,alumnus_of_Yale_University,born_in_**,born_in_***,born_in_AS,born_in_AUT,born_in_CAN,born_in_CHE,born_in_DEU,born_in_EU,born_in_FRA,born_in_GBR,born_in_IND,born_in_ITA,born_in_JPN,born_in_NA,born_in_NLD,born_in_POL,born_in_RUS,born_in_SWE,born_in_UKR,born_in_USA,citizen_in_**,citizen_in_AS,citizen_in_EU,citizen_in_NA,citizen_in_OC,citizen_of_***,citizen_of_AUS,citizen_of_AUT,citizen_of_CHE,citizen_of_DEU,citizen_of_DNK,citizen_of_FRA,citizen_of_GBR,citizen_of_IND,citizen_of_IRL,citizen_of_ITA,citizen_of_JPN,citizen_of_NLD,citizen_of_RUS,citizen_of_SWE,citizen_of_USA,full_name,gender,is_astronomer,is_experimental_physicist,is_theoretical_physicist,lived_in_**,lived_in_***,lived_in_AS,lived_in_AUS,lived_in_AUT,lived_in_DEU,lived_in_EU,lived_in_GBR,lived_in_NA,lived_in_NLD,lived_in_OC,lived_in_RUS,lived_in_USA,num_alma_mater_at_least_1,num_alma_mater_at_least_2,num_alma_mater_at_least_3,num_alma_mater_at_least_4,num_alma_mater_at_least_5,num_alma_mater_continent_codes_at_least_1,num_alma_mater_continent_codes_at_least_2,num_alma_mater_country_alpha_3_codes_at_least_1,num_alma_mater_country_alpha_3_codes_at_least_2,num_alma_mater_country_alpha_3_codes_at_least_3,num_birth_continent_codes_at_least_1,num_birth_continent_codes_at_least_2,num_birth_country_alpha_3_codes_at_least_1,num_birth_country_alpha_3_codes_at_least_2,num_birth_country_alpha_3_codes_at_least_3,num_birth_country_alpha_3_codes_at_least_4,num_birth_country_alpha_3_codes_at_least_7,num_citizenship_continent_codes_at_least_1,num_citizenship_continent_codes_at_least_2,num_citizenship_continent_codes_at_least_3,num_citizenship_country_alpha_3_codes_at_least_1,num_citizenship_country_alpha_3_codes_at_least_2,num_citizenship_country_alpha_3_codes_at_least_3,num_citizenship_country_alpha_3_codes_at_least_4,num_citizenship_country_alpha_3_codes_at_least_5,num_physics_laureate_academic_advisors_at_least_1,num_physics_laureate_academic_advisors_at_least_2,num_physics_laureate_children_at_least_1,num_physics_laureate_doctoral_advisors_at_least_1,num_physics_laureate_doctoral_students_at_least_1,num_physics_laureate_doctoral_students_at_least_2,num_physics_laureate_doctoral_students_at_least_3,num_physics_laureate_influenced_at_least_1,num_physics_laureate_influenced_at_least_2,num_physics_laureate_influenced_at_least_3,num_physics_laureate_influenced_by_at_least_1,num_physics_laureate_influenced_by_at_least_2,num_physics_laureate_notable_students_at_least_1,num_physics_laureate_notable_students_at_least_2,num_physics_laureate_notable_students_at_least_7,num_residence_continent_codes_at_least_1,num_residence_continent_codes_at_least_2,num_residence_continent_codes_at_least_3,num_residence_country_alpha_3_codes_at_least_1,num_residence_country_alpha_3_codes_at_least_2,num_residence_country_alpha_3_codes_at_least_3,num_residence_country_alpha_3_codes_at_least_5,num_workplaces_at_least_1,num_workplaces_at_least_12,num_workplaces_at_least_13,num_workplaces_at_least_15,num_workplaces_at_least_2,num_workplaces_at_least_3,num_workplaces_at_least_4,num_workplaces_at_least_5,num_workplaces_at_least_6,num_workplaces_at_least_7,num_workplaces_at_least_8,num_workplaces_at_least_9,num_workplaces_continent_codes_at_least_1,num_workplaces_continent_codes_at_least_2,num_workplaces_continent_codes_at_least_3,num_workplaces_continent_codes_at_least_4,num_workplaces_country_alpha_3_codes_at_least_1,num_workplaces_country_alpha_3_codes_at_least_2,num_workplaces_country_alpha_3_codes_at_least_3,num_workplaces_country_alpha_3_codes_at_least_4,num_workplaces_country_alpha_3_codes_at_least_5,num_workplaces_country_alpha_3_codes_at_least_6,num_workplaces_country_alpha_3_codes_at_least_7,num_years_lived_group_at_least_25-34,num_years_lived_group_at_least_35-49,num_years_lived_group_at_least_50-64,num_years_lived_group_at_least_65-79,num_years_lived_group_at_least_80-94,num_years_lived_group_at_least_95-120,worked_at_*,worked_at_Bell_Labs,worked_at_CERN,worked_at_California_Institute_of_Technology,worked_at_Columbia_University,worked_at_Harvard_University,worked_at_Institute_for_Advanced_Study,worked_at_Leiden_University,worked_at_Los_Alamos_National_Laboratory,worked_at_Princeton_University,worked_at_Stanford_University,"worked_at_University_of_California,_Berkeley",worked_at_University_of_Cambridge,worked_at_University_of_Chicago,worked_at_University_of_Oxford,worked_in_**,worked_in_***,worked_in_AS,worked_in_AUT,worked_in_CAN,worked_in_CHE,worked_in_DEU,worked_in_EU,worked_in_FRA,worked_in_GBR,worked_in_ITA,worked_in_NA,worked_in_NLD,worked_in_RUS,worked_in_USA
no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,John Henry Poynting,male,no,no,no,no,no,no,no,no,no,yes,yes,no,no,no,no,no,yes,yes,no,no,no,yes,no,yes,no,no,yes,no,yes,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,yes,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,yes,yes,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no
no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,John Hubbard (physicist),male,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,yes,no,yes,no,no,yes,no,yes,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,yes,yes,no,no,yes,yes,no,no,no,no,no,yes,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,yes,no,yes,no,no,yes
no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,John J. Turin,male,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,John Joseph Montgomery,male,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,yes,no,yes,no,no,yes,no,yes,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,John Kerr (physicist),male,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,John Lennard-Jones,male,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,yes,no,yes,no,no,yes,no,yes,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,John Linsley,male,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,yes,no,yes,no,no,yes,no,yes,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,yes,yes,yes,no,no,no,no,no,yes,yes,no,no,yes,yes,no,no,no,no,no,yes,yes,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,yes,yes,no,no,yes
no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,John Pasta,male,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,yes,no,yes,no,no,yes,no,yes,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,John R. Winckler,male,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
no,yes,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,yes,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,John Sealy Townsend,male,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,no,yes,no,yes,yes,no,yes,no,yes,no,no,no,no,yes,no,no,yes,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no
no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,John Stewart Bell,male,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,no,yes,no,yes,no,no,yes,no,yes,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,yes,yes,no,no,no,no,no,no,yes,yes,no,no,yes,yes,yes,no,no,no,no,yes,yes,yes,no,no,no,yes,no,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,yes,no,yes,no,yes,no,no,yes
no,yes,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,John von Neumann,male,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,no,yes,no,yes,yes,no,yes,no,yes,yes,no,no,no,yes,yes,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,yes,yes,yes,no,no,no,no,no,yes,yes,no,no,yes,yes,no,no,no,no,no,yes,yes,yes,no,no,no,yes,no,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,no,yes,no,no,yes
no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,"John William Strutt, 3rd Baron Rayleigh",male,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,yes,no,yes,no,no,yes,no,yes,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no
no,no,no,no,no,no,no,yes,no,yes,no,no,yes,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,John Zeleny,male,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,yes,yes,yes,no,no,no,yes,yes,yes,yes,no,no,no,no,no,no,no,no,yes,yes,no,yes,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
no,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,José Enrique Moyal,male,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,yes,no,yes,no,no,yes,no,yes,yes,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,Joseph Larmor,male,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,no,no,yes,no,yes,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,yes,yes,no,no,no,no,no,yes,yes,yes,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,yes,no,no,no,no,no,yes,no,yes,no,no,no,no,no
no,yes,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,Joseph Rotblat,male,no,no,no,no,no,no,no,no,no,yes,yes,no,no,no,no,no,yes,yes,no,no,no,yes,no,yes,yes,no,yes,no,yes,no,no,no,no,yes,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,Joseph Swan,male,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,Josiah Willard Gibbs,male,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,yes,no,yes,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,yes,yes,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,yes
no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,Jules Aarons,male,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,Julian Schwinger,male,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,no,yes,no,yes,no,no,yes,no,yes,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,Julius Wess,male,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,Kai Siegbahn,male,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,yes,no,yes,no,no,yes,no,yes,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,Karl Bechert,male,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
no,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,Karl Ferdinand Braun,male,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,no,yes,no,yes,no,no,yes,no,yes,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,yes,yes,yes,yes,no,no,no,no,yes,no,no,no,yes,yes,no,no,no,no,no,yes,yes,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,no,no,no,no,no,no
